"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","ah5Ghc","M4A5Cf","ah5Ghc 2","M4A5Cf 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Foodnest+Mirpur+14/data=!4m7!3m6!1s0x3755c73f8dc55ef5:0x6d1bb2e4c14091e6!8m2!3d23.7967679!4d90.3876724!16s%2Fg%2F11lrf1vcy1!19sChIJ9V7FjT_HVTcR5pFAweSyG20?authuser=0&hl=en&rclk=1","Foodnest Mirpur 14","4.1","(503)","·","৳200–400","Restaurant","·","","·","Apex Building, CB211/8,Mirpur 14 (Kochukhet Mian Road, 14 Muktijoddha Rd","Open","⋅ Closes 10 PM","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noli6xNRG9U6JBwXT7HBLOsrFTwKiZePCqFSR6h2qLXQNBi6nCu7vjFC70pV7l_qLXdliMkiK9jmIwHOuhaS-ZShLpNYR3W8w26AWKSdPDDPRov7PvpdkMfZ7SpQbOPgdWSS8i8=w122-h92-k-no","Dine-in","·","Drive-through","·","Delivery"
"https://www.google.com/maps/place/Segreto/data=!4m7!3m6!1s0x3755c1a3d1cdb4f1:0x933da0b5667727e2!8m2!3d23.8009313!4d90.3540249!16s%2Fg%2F11pyssn6bq!19sChIJ8bTN0aPBVTcR4id3ZrWgPZM?authuser=0&hl=en&rclk=1","Segreto","4.2","(657)","","","Fusion restaurant","·","","·","Plot No, 32 Rd No. 2","Open","⋅ Closes 11 PM","https://lh3.googleusercontent.com/p/AF1QipNYVbSc7y6wacNGerIrAzyAxzxPvCsotLDzfMDL=w122-h92-k-no","Dine-in","·","Drive-through","·","No-contact delivery"
"https://www.google.com/maps/place/Metro+Escape/data=!4m7!3m6!1s0x3755c1b54e8b0297:0x441277b7ff4e6b0f!8m2!3d23.8183549!4d90.3651982!16s%2Fg%2F11ry7lc37j!19sChIJlwKLTrXBVTcRD2tO_7d3EkQ?authuser=0&hl=en&rclk=1","Metro Escape","4.0","(788)","·","৳400–600","Restaurant","·","","Purobi Metro Station","","Open","⋅ Closes 11 PM","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqBnMdx_h6IvxCFZCe_Z-lBZSic9Ko_k9XiyGWp_9-J8B2fPqHXMoMNX24bO9hbCrM-9fU_iSKtrin_ROMMc5fU717Hnu9MWcG2uxnP6k23j62HDZMHK6KUAFLKOqQJGQxM6Ew=w122-h92-k-no","Dine-in","·","Takeaway","·","Delivery"
"https://www.google.com/maps/place/Soya/data=!4m7!3m6!1s0x3755c1deceee9291:0xaae600ccf9d8b7ea!8m2!3d23.8101287!4d90.3662141!16s%2Fg%2F11sx51d5zb!19sChIJkZLuzt7BVTcR6rfY-cwA5qo?authuser=0&hl=en&rclk=1","Soya","4.3","(1,007)","·","$$","Restaurant","·","","·","House 1/2, Hyperion Krishnachura Heights, Avenue 5","Open","⋅ Closes 10:30 PM","https://lh3.googleusercontent.com/gps-cs-s/AC9h4no_Brm5JjoCd6lI6xGxXz-CAt2B9GiRmUBt70ppZ4coF-E3QlnbxT_KmGJTEcUdX9eMhSrsJYqjDB4PUW481vIoY_sg_AmPd0vUBZku2MgQiC1Lqi61qFOJDSZTwB5oQ2hWfg=w80-h106-k-no","Dine-in","·","Takeaway","·","No delivery"
"https://www.google.com/maps/place/Burger+Xpress+-+Benaroshi,+Mirpur+10/data=!4m7!3m6!1s0x3755c17b6db346e3:0x446710e4d6aaaf15!8m2!3d23.8095422!4d90.3703839!16s%2Fg%2F11mtddy4qn!19sChIJ40azbXvBVTcRFa-q1uQQZ0Q?authuser=0&hl=en&rclk=1","Burger Xpress - Benaroshi, Mirpur 10","4.1","(489)","·","৳200–400","Restaurant","·","","10b Ave No. 1","","Open","⋅ Closes 12 AM","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqTBngqq0jDTK7zJ3DlDDeA6MdcqrSO1uyixlOxxl1skqyh4tW58sgj25DdlvbtYO3Q3ZhZjhP2NSf0MapSSuBE4YrrBPXBPsUDuCMVTMEI2lwonyNiEzYsSVQ6Q3rUxN1AbKWf=w122-h92-k-no","Dine-in","·","Takeaway","·","No-contact delivery"
"https://www.google.com/maps/place/Hello+Dine/data=!4m7!3m6!1s0x3755c1617135b89f:0xf591c1b647bd2801!8m2!3d23.8090347!4d90.3604491!16s%2Fg%2F11gr460pmr!19sChIJn7g1cWHBVTcRASi9R7bBkfU?authuser=0&hl=en&rclk=1","Hello Dine","4.0","(960)","·","৳200–400","Restaurant","·","","·","House-27 Road No. 1","Open","⋅ Closes 10:30 PM","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noKBRYuUJOgK6-V3lZVjSb_pF8hq-nUphtZjKVzIV85Z_W4EYNZ1hO1-9IIZsf5W_VMgMmZNv7dA2WIf-WeCzNbAiLJEeuEhOlW5awuImLHSgwOkONVsnzrgZuvsR8Gc4_oKcXD=w122-h92-k-no","Dine-in","·","Drive-through","",""
"https://www.google.com/maps/place/Cafe+Dastarkhana/data=!4m7!3m6!1s0x3755c0d80611810d:0xc855975959b749c3!8m2!3d23.8100811!4d90.364886!16s%2Fg%2F11cm3mtyc0!19sChIJDYERBtjAVTcRw0m3WVmXVcg?authuser=0&hl=en&rclk=1","Cafe Dastarkhana","4.2","(2,841)","·","৳200–400","Restaurant","·","","·","House-41 Avenue 5","Open","⋅ Closes 10:30 PM","https://lh3.googleusercontent.com/gps-cs-s/AC9h4npkcUIc2ignPlpuu3cScfqAFrv6t10Gk373vhDCN1SIQrb1CIugyTim15wy4WJtjZjZ9Wj1jx5rsyQINxSIDu51trJB7W8kqsDEHM7Ms24Wwq8PCxYJ2xUzuWTwHcK17q34RJo=w122-h92-k-no","Dine-in","·","Takeaway","·","Delivery"
"https://www.google.com/maps/place/Khana%27s+Mirpur/data=!4m7!3m6!1s0x3755c1c3f9531e0b:0xf01a7868c9e0b79d!8m2!3d23.8101023!4d90.3663401!16s%2Fg%2F11fjbkprdj!19sChIJCx5T-cPBVTcRnbfgyWh4GvA?authuser=0&hl=en&rclk=1","Khana's Mirpur","4.2","(3,097)","·","৳200–400","Restaurant","·","","·","Block C, Avenue 5","Open","⋅ Closes 10:30 PM","https://lh3.googleusercontent.com/gps-cs-s/AC9h4npLMat6Jlm7mNFS-T9rrjVX5qLKks864eJkv5OhwcI4z9tS3ZUo9DTdnH4AdLm0ygDP1l2IlgC5V5w5gcnblwgX-ied7oLiDi9Iuctgjh2rsG-GuZCKhSJx71Me14RPCDsR13M=w122-h92-k-no","Dine-in","·","Takeaway","·","Delivery"
